VIMTYPE	EXTEND	SIMPLE	OBJECT	V47TEMP2	AOGAINTT	PARANG	AOMODES	RA	WXWIND	BAYSIDZE	EPOCH	VFW3POS	V47PIXRT	WXWDIR	VFW3POSN	V47GAIN	AOCOUNTS	TCELL	V47JXTMP	ELEVATIO	AOMODAM2	AOMODAM1	ZD	EXPTIME	FRAMENO	WXTEMP	NAXIS	DATE-OBS	DEC	CATDEC	FILENAME	INSTRUME	AOREC	AOMODSP2	AOMODSP1	VSHUTSYN	NAXIS1	VWOLLSTN	NAXIS2	AZIMUTH	UT	VFW1POSN	BITPIX	VFW2POS	VFW2POSN	V47TEMP1	V47BINY	V47BINX	VFW1POS	WXPRES	CATRA	ROTOFF	HISTORY	V47FRMRT	ORIGIN	ROTMODE	VGIMYPOS	VFOCSTAT	V47REPS	V47WINDY	V47WINDX	TELESCOP	V47BLCK2	V47BLCK1	ST	V47JTEMP	VGIMPWR	BAYSIDYE	AOLOOPST	DATE	WXHUMID	AOSPEED	HA	TAMBIENT	AOGAINH2	ROTANG	OBSINST	AVGWFE	AOBIN	AOMODOF1	AOMODOF2	BAYSIDXE	VSHUTTER	AM	VFOCPWR	STDWFE	AOGAINH1	BAYSIDZ	BAYSIDY	BAYSIDX	TTRUSS	OBSNAME	VGIMXPOS	FGDMATS	VFOCPOS
DARK	TRUE	TRUE	beta_Pic	-39.53410339	0.94	-59.1559	300	86.811625	15.7	102	2000	3.000428446	2500	28	open	MED HIGH	643	9.532	16.901	57.6932	0.00017	0.00017	32.3068	0.283446688	3710324	10.17	2	2014-11-04T05:30:14.577255	-51.06725	-51.0665	V47_20141104053014577255.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	141.8873	19812	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	331.7671	VisAO system status update applied Tue Nov  4 19:27:43 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13259	19.8393898	ON	102	CLOSED	2014-11-04T05:30:14	27.2	989.6091044	-2.110555556	11	0.2	30.923	Arizona	112.407	1	0	0	102	SHUT	1.183	ON	1.46899	0.84	35.1	9.4068	15.1026	6.768	Morzinski	1.91583	2014-11-04T05:30:14.577232000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	0.94	-59.0959	300	86.811625	15.7	102	2000	3.000440669	2500	28	open	MED HIGH	638	9.532	16.888	57.7187	0.00017	0.00017	32.2813	0.283446688	3710361	10.17	2	2014-11-04T05:30:25.065946	-51.06725	-51.0665	V47_20141104053025065946.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	141.9158	19823	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	331.8281	VisAO system status update applied Tue Nov  4 19:27:43 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13271	19.74201012	ON	102	CLOSED	2014-11-04T05:30:25	27.2	989.6091044	-2.107222222	11	0.2	30.923	Arizona	112.606	1	0	0	102	OPEN	1.182	ON	1.58314	0.84	35.1	9.4068	15.1026	6.768	Morzinski	1.91583	2014-11-04T05:30:25.65924000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	0.94	-58.9661	300	86.811625	15.7	102	2000	3.000440669	2500	28	open	MED HIGH	639	9.539	16.876	57.7734	0.00017	0.00017	32.2266	0.283446688	3710449	10.17	2	2014-11-04T05:30:50.012015	-51.06725	-51.0665	V47_20141104053050012015.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	141.9773	19848	"R=50%, T=50%"	16	1.001005995	z'	-39.53410339	1	1	0	763.32	86.82116667	331.959	VisAO system status update applied Tue Nov  4 19:27:43 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13295	19.74201012	ON	102	CLOSED	2014-11-04T05:30:50	27.2	989.6091044	-2.100555556	11	0.2	30.923	Arizona	113.012	1	0	0	102	OPEN	1.182	ON	1.56592	0.84	35.1	9.4068	15.1026	6.762	Morzinski	1.91583	2014-11-04T05:30:50.11996000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	0	-58.2147	300	86.81495833	16.4	102	2000	3.000434557	2500	29	open	MED HIGH	22	9.542	16.876	58.0836	0.00017	0.00017	31.9164	0.283446688	3710939	10.06	2	2014-11-04T05:33:08.916301	-51.06636111	-51.0665	V47_20141104053308916301.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	142.3318	19987	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	332.7083	VisAO system status update applied Tue Nov  4 19:27:46 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13434	19.8393898	ON	102	OPEN	2014-11-04T05:33:08	27.3	989.6091044	-2.061944444	10.94	0.25	30.923	Arizona	133.561	1	0	0	102	OPEN	1.178	ON	11.74996	0.84	35.1	13.4297	15.4857	6.748	Morzinski	1.91583	2014-11-04T05:33:08.916277000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	1.24	-57.9125	300	86.81491667	16.4	102	2000	3.000434557	2500	29	open	MED HIGH	646	9.539	16.882	58.207	0.00017	0.00017	31.793	0.283446688	3711133	10.06	2	2014-11-04T05:34:03.911059	-51.06630556	-51.0665	V47_20141104053403911059.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	142.4773	20042	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	333.0117	VisAO system status update applied Tue Nov  4 19:27:47 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13490	19.8393898	ON	102	CLOSED	2014-11-04T05:34:03	27.3	989.6091044	-2.046666667	10.97	0.25	30.923	Arizona	108.682	1	0	0	102	OPEN	1.176	ON	0.944795	0.84	35.1	13.5079	15.4848	6.742	Morzinski	1.91583	2014-11-04T05:34:03.911030000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	1.24	-57.7337	300	86.814875	16.4	102	2000	3.000434557	2500	29	open	MED HIGH	636	9.534	16.864	58.2787	0.00017	0.00017	31.7213	0.283446688	3711249	10.06	2	2014-11-04T05:34:36.794509	-51.06630556	-51.0665	V47_20141104053436794509.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	142.563	20075	"R=50%, T=50%"	16	1.001005995	z'	-39.53410339	1	1	0	763.32	86.82116667	333.1893	VisAO system status update applied Tue Nov  4 19:27:47 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13523	19.8393898	ON	102	CLOSED	2014-11-04T05:34:36	27.3	989.6091044	-2.0375	10.97	0.3	30.923	Arizona	110.103	1	0	0	102	OPEN	1.175	ON	1.154435	0.94	35.1	13.5079	15.4848	6.736	Morzinski	1.91583	2014-11-04T05:34:36.794490000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	1.24	-57.528	300	86.814875	16.4	102	2000	3.000440669	2500	29	open	MED HIGH	639	9.534	16.87	58.3613	0.00017	0.00017	31.6387	0.283446688	3711376	10.06	2	2014-11-04T05:35:12.796231	-51.06627778	-51.0665	V47_20141104053512796231.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	142.6626	20112	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	333.395	VisAO system status update applied Tue Nov  4 19:27:48 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13560	19.74201012	ON	102	CLOSED	2014-11-04T05:35:12	27.3	989.6091044	-2.027222222	10.97	0.3	30.923	Arizona	108.716	1	0	0	102	OPEN	1.174	ON	1.24278	0.94	35.1	13.5079	15.4848	6.736	Morzinski	1.91583	2014-11-04T05:35:12.796212000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	1.24	-56.3924	300	86.81483333	17.4	102	2000	3.000434557	2500	29	open	MED HIGH	635	9.476	16.87	58.8088	0.00017	0.00017	31.1912	0.283446688	3712095	10.06	2	2014-11-04T05:38:36.616997	-51.06636111	-51.0665	V47_20141104053836616997.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	143.2208	20315	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	334.5317	VisAO system status update applied Tue Nov  4 19:27:51 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13763	19.8393898	ON	102	CLOSED	2014-11-04T05:38:36	27	989.6091044	-1.970555556	11.01	0.3	30.923	Arizona	109.082	1	0	0	102	OPEN	1.169	ON	0.955065	0.94	35.1	13.3698	15.6853	6.718	Morzinski	1.91583	2014-11-04T05:38:36.616977000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	1.24	-56.3395	300	86.81483333	17.4	102	2000	3.000440669	2500	29	open	MED HIGH	633	9.476	16.864	58.8288	0.00017	0.00017	31.1712	0.283446688	3712126	10.06	2	2014-11-04T05:38:45.404824	-51.06636111	-51.0665	V47_20141104053845404824.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	143.2465	20324	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	334.5835	VisAO system status update applied Tue Nov  4 19:27:51 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	13773	19.8393898	ON	102	CLOSED	2014-11-04T05:38:45	27	989.6091044	-1.968055556	11.01	0.3	30.923	Arizona	108.59	1	0	0	102	OPEN	1.168	ON	1.04842	0.94	35.1	13.3698	15.6853	6.718	Morzinski	1.91583	2014-11-04T05:38:45.404801000	4398.321289
SCIENCE	TRUE	TRUE	beta_Pic	-39.53410339	1.24	-54.1657	300	86.815125	17.3	102	2000	3.000434557	2500	28	open	MED HIGH	632	9.554	16.913	59.644	0.00017	0.00017	30.356	0.283446688	3713458	10.17	2	2014-11-04T05:45:02.997736	-51.06577778	-51.0665	V47_20141104054502997736.fits	VisAO	Rec_20130329_194609.fits	990	990	IGNORED	1024	OUT	1024	144.35	20702	"R=50%, T=50%"	16	1.001000901	z'	-39.53410339	1	1	0	763.32	86.82116667	336.7585	VisAO system status update applied Tue Nov  4 19:27:58 2014	3.528000305	MagAO System	GRV	4.39908	STOPPED	0	1024	1024	Magellan Clay	390	396	14151	19.8393898	ON	102	CLOSED	2014-11-04T05:45:03	25.7	989.6091044	-1.862777778	10.78	0.3	30.923	Arizona	109.021	1	0	0	102	OPEN	1.159	ON	1.04814	0.94	35.1	14.01	15.0833	6.703	Morzinski	1.91583	2014-11-04T05:45:02.997714000	4398.321289
